chave_municipal,município,codigo_ibge,regiao,populacao_2025,populacao_censo_2022,idhm_2010,pib_per_capita_2023_reais,pib_2023_mil_reais,densidade_hab_km2,area_km2,valor_pago,total_repasses,qtd_repasses,valor_medio
4303806,Campinas do Sul,4303806,Sul,5388,5284.0,0.76,55805.0,294875.0,19.13,276.162,200000.0,200000.0,1,200000.0
4304309,Candido Godoi,4304309,Sul,6419,6294.0,0.728,59584.0,375022.0,25.48,247.047,200000.0,200000.0,1,200000.0
4304507,Cangucu,4304507,Sul,50968,49680.0,0.65,36746.0,1825528.0,14.09,3526.253,200000.0,200000.0,1,200000.0
4304903,Casca,4304903,Sul,9698,9465.0,0.785,92546.0,875949.0,34.79,272.041,200000.0,200000.0,1,200000.0
4305124,Cerrito,4305124,Sul,5910,5808.0,0.649,22584.0,131166.0,12.86,451.699,200000.0,200000.0,1,200000.0
4305157,Cerro Grande,4305157,Sul,2428,2379.0,0.674,26035.0,61938.0,32.39,73.438,200000.0,200000.0,1,200000.0
4305306,Chapada,4305306,Sul,9751,9540.0,0.757,63213.0,603053.0,13.94,684.247,200000.0,200000.0,1,200000.0
4305603,Colorado,4305603,Sul,3316,3258.0,0.758,61073.0,198977.0,11.38,286.295,200000.0,200000.0,1,200000.0
4305900,Coronel Bicaco,4305900,Sul,6214,6144.0,0.665,64631.0,397095.0,12.48,492.303,200000.0,200000.0,1,200000.0
4306056,Cristal,4306056,Sul,7455,7299.0,0.644,41174.0,300530.0,10.7,682.138,200000.0,200000.0,1,200000.0
4306106,Cruz Alta,4306106,Sul,60454,58913.0,0.75,74684.0,4399886.0,43.3,1360.548,200000.0,200000.0,1,200000.0
4306320,Derrubadas,4306320,Sul,2793,2751.0,0.707,42741.0,117581.0,7.62,360.851,200000.0,200000.0,1,200000.0
4306379,Dilermando de Aguiar,4306379,Sul,2856,2806.0,0.648,72323.0,202939.0,4.67,600.518,200000.0,200000.0,1,200000.0
4306429,Dois Irmaos das Missoes,4306429,Sul,2132,2090.0,0.67,60171.0,125757.0,9.24,226.072,200000.0,200000.0,1,200000.0
4306502,Dom Feliciano,4306502,Sul,13280,13051.0,0.587,32042.0,418179.0,9.63,1355.195,200000.0,200000.0,1,200000.0
4306734,Doutor Mauricio Cardoso,4306734,Sul,4534,4470.0,0.706,51066.0,228266.0,17.48,255.731,200000.0,200000.0,1,200000.0
4306924,Engenho Velho,4306924,Sul,1315,1296.0,0.717,39157.0,50748.0,18.2,71.191,200000.0,200000.0,1,200000.0
4307302,Erval Seco,4307302,Sul,6892,6787.0,0.685,44174.0,299811.0,19.0,357.181,200000.0,200000.0,1,200000.0
4307450,Esperanca do Sul,4307450,Sul,3293,3226.0,0.661,31415.0,101346.0,21.66,148.909,200000.0,200000.0,1,200000.0
4307500,Espumoso,4307500,Sul,15478,15173.0,0.765,56781.0,861538.0,19.36,783.642,200000.0,200000.0,1,200000.0
4308854,Gentil,4308854,Sul,1784,1744.0,0.733,87303.0,152256.0,9.44,184.715,200000.0,200000.0,1,200000.0
4308904,Getulio Vargas,4308904,Sul,16955,16602.0,0.746,53003.0,879960.0,57.75,287.466,200000.0,200000.0,1,200000.0
4309159,Gramado Xavier,4309159,Sul,3350,3304.0,0.634,37615.0,124280.0,15.19,217.515,200000.0,200000.0,1,200000.0
4309654,Hulha Negra,4309654,Sul,6102,5976.0,0.643,38297.0,228860.0,7.26,822.608,200000.0,200000.0,1,200000.0
4309951,Ibirapuita,4309951,Sul,3789,3723.0,0.638,50524.0,188102.0,12.12,307.164,200000.0,200000.0,1,200000.0
4310306,Ilopolis,4310306,Sul,4245,4157.0,0.73,39668.0,164900.0,33.63,123.602,200000.0,200000.0,1,200000.0
4310504,Irai,4310504,Sul,7619,7482.0,0.691,34187.0,255785.0,41.21,181.579,200000.0,200000.0,1,200000.0
4310850,Jaboticaba,4310850,Sul,3847,3779.0,0.658,28252.0,106763.0,29.62,127.589,200000.0,200000.0,1,200000.0
4311270,Lagoa dos Tres Cantos,4311270,Sul,1781,1738.0,0.789,47102.0,81864.0,12.54,138.602,200000.0,200000.0,1,200000.0
4311254,Lagoao,4311254,Sul,5421,5341.0,0.643,28042.0,149771.0,13.78,387.486,200000.0,200000.0,1,200000.0
4311627,Lindolfo Collor,4311627,Sul,6420,6248.0,0.712,56516.0,353109.0,187.34,33.351,200000.0,200000.0,1,200000.0
4311643,Linha Nova,4311643,Sul,1721,1683.0,0.749,45249.0,76154.0,26.5,63.502,200000.0,200000.0,1,200000.0
4311700,Machadinho,4311700,Sul,5867,5735.0,0.692,45492.0,260895.0,17.11,335.198,200000.0,200000.0,1,200000.0
4311734,Mampituba,4311734,Sul,3203,3131.0,0.649,32328.0,101220.0,19.99,156.653,200000.0,200000.0,1,200000.0
4311809,Marau,4311809,Sul,46748,45124.0,0.774,82845.0,3738295.0,69.45,649.77,200000.0,200000.0,1,200000.0
4311908,Marcelino Ramos,4311908,Sul,4382,4320.0,0.724,44568.0,192535.0,18.8,229.759,200000.0,200000.0,1,200000.0
4312203,Maximiliano de Almeida,4312203,Sul,4251,4191.0,0.699,38079.0,159588.0,20.11,208.439,200000.0,200000.0,1,200000.0
4312351,Montauri,4312351,Sul,1530,1499.0,0.764,49188.0,73733.0,18.23,82.23,200000.0,200000.0,1,200000.0
4312708,Nonoai,4312708,Sul,14074,13719.0,0.702,39316.0,539374.0,29.25,468.962,200000.0,200000.0,1,200000.0
4312955,Nova Boa Vista,4312955,Sul,2089,2042.0,0.768,67476.0,137786.0,21.79,93.733,200000.0,200000.0,1,200000.0
4313425,Novo Machado,4313425,Sul,3239,3198.0,0.663,44058.0,140899.0,14.61,218.836,200000.0,200000.0,1,200000.0
4313706,Palmeira das Missoes,4313706,Sul,34227,33216.0,0.737,51431.0,1708324.0,23.37,1421.101,200000.0,200000.0,1,200000.0
4313805,Palmitinho,4313805,Sul,8042,7839.0,0.72,33847.0,265325.0,54.37,144.181,200000.0,200000.0,1,200000.0
4314134,Paulo Bento,4314134,Sul,2188,2144.0,0.71,111268.0,238558.0,14.32,149.669,200000.0,200000.0,3,66666.66666666667
4314175,Pedras Altas,4314175,Sul,2099,2061.0,0.64,83868.0,172852.0,1.5,1373.985,200000.0,200000.0,1,200000.0
4314209,Pedro Osorio,4314209,Sul,7631,7484.0,0.678,32391.0,242415.0,12.4,603.757,200000.0,200000.0,1,200000.0
4314456,Pinhal,4314456,Sul,3039,2959.0,0.72,52088.0,154127.0,43.37,68.222,200000.0,200000.0,1,200000.0
4314555,Pirapo,4314555,Sul,2255,2260.0,0.669,31865.0,72016.0,7.69,293.723,200000.0,200000.0,5,40000.0
4314605,Piratini,4314605,Sul,17770,17504.0,0.658,42525.0,744361.0,4.95,3538.3,200000.0,200000.0,1,200000.0
4315057,Porto Maua,4315057,Sul,2173,2142.0,0.698,37141.0,79557.0,20.24,105.811,200000.0,200000.0,1,200000.0
4315149,Presidente Lucena,4315149,Sul,3166,3077.0,0.757,120811.0,371734.0,62.0,49.628,200000.0,200000.0,1,200000.0
4315156,Progresso,4315156,Sul,5423,5340.0,0.683,33993.0,181523.0,20.86,256.039,200000.0,200000.0,1,200000.0
4315404,Redentora,4315404,Sul,9931,9738.0,0.631,21319.0,207604.0,32.06,303.705,200000.0,200000.0,1,200000.0
4315909,Rodeio Bonito,4315909,Sul,6831,6654.0,0.732,45258.0,301150.0,79.9,83.278,200000.0,200000.0,3,66666.66666666667
4316105,Ronda Alta,4316105,Sul,9969,9777.0,0.724,41200.0,402816.0,23.35,418.675,200000.0,200000.0,1,200000.0
4316303,Roque Gonzales,4316303,Sul,6693,6576.0,0.688,60333.0,396753.0,18.84,349.074,200000.0,200000.0,1,200000.0
4316428,Sagrada Familia,4316428,Sul,2528,2480.0,0.678,27057.0,67102.0,31.84,77.889,200000.0,200000.0,1,200000.0
4316451,Salto do Jacui,4316451,Sul,10357,10203.0,0.687,58308.0,594921.0,20.1,507.698,200000.0,200000.0,1,200000.0
4316477,Salvador das Missoes,4316477,Sul,2955,2877.0,0.753,56399.0,162260.0,30.51,94.312,200000.0,200000.0,1,200000.0
4317954,Santo Expedito do Sul,4317954,Sul,2395,2349.0,0.732,44928.0,105537.0,18.7,125.595,200000.0,200000.0,1,200000.0
4318309,Sao Gabriel,4318309,Sul,60090,58487.0,0.699,45872.0,2682926.0,11.57,5053.46,200000.0,200000.0,3,66666.66666666667
4318424,Sao Joao da Urtiga,4318424,Sul,4547,4461.0,0.694,44443.0,198261.0,26.08,171.029,200000.0,200000.0,1,200000.0
4319109,Sao Martinho,4319109,Sul,5587,5481.0,0.726,55636.0,304939.0,32.01,171.245,200000.0,200000.0,1,200000.0
4319356,Sao Pedro da Serra,4319356,Sul,3618,3548.0,0.739,34569.0,122651.0,100.78,35.207,200000.0,200000.0,1,200000.0
4319364,Sao Pedro das Missoes,4319364,Sul,1790,1757.0,0.664,41497.0,72911.0,21.99,79.894,200000.0,200000.0,1,200000.0
4319604,Sao Sepe,4319604,Sul,21551,21219.0,0.708,49932.0,1059509.0,9.62,2204.779,200000.0,200000.0,1,200000.0
4319802,Sao Vicente do Sul,4319802,Sul,8257,8097.0,0.685,58032.0,469886.0,6.89,1174.822,200000.0,200000.0,1,200000.0
4320107,Sarandi,4320107,Sul,23374,22851.0,0.777,62477.0,1427661.0,64.97,351.717,200000.0,200000.0,1,200000.0
4320453,Serio,4320453,Sul,2089,1941.0,0.652,36233.0,70329.0,19.78,98.131,200000.0,200000.0,1,200000.0
4320503,Sertao,4320503,Sul,5630,5541.0,0.751,70297.0,389514.0,12.58,440.631,200000.0,200000.0,1,200000.0
4321634,Tres Arroios,4321634,Sul,2636,2591.0,0.791,51830.0,134291.0,17.44,148.601,200000.0,200000.0,1,200000.0
4321857,Tres Palmeiras,4321857,Sul,4829,4716.0,0.703,35178.0,165901.0,26.11,180.599,200000.0,200000.0,1,200000.0
4321956,Trindade do Sul,4321956,Sul,7785,7556.0,0.687,53405.0,403531.0,28.15,268.417,200000.0,200000.0,1,200000.0
4322202,Tupancireta,4322202,Sul,20324,20005.0,0.709,63747.0,1275254.0,8.88,2253.234,200000.0,200000.0,1,200000.0
4322343,Ubiretama,4322343,Sul,2025,1994.0,0.7,36874.0,73526.0,15.84,125.876,200000.0,200000.0,1,200000.0
4322533,Vale do Sol,4322533,Sul,10069,9897.0,0.624,38445.0,380489.0,30.15,328.275,200000.0,200000.0,1,200000.0
4323101,Vicente Dutra,4323101,Sul,4741,4665.0,0.638,31696.0,147864.0,24.17,193.025,200000.0,200000.0,1,200000.0
4323408,Vila Maria,4323408,Sul,4515,4413.0,0.761,89191.0,393600.0,24.37,181.061,200000.0,200000.0,1,200000.0
4323705,Vista Gaucha,4323705,Sul,2843,2783.0,0.757,33868.0,94256.0,30.91,90.022,200000.0,200000.0,1,200000.0
4323754,Vitoria das Missoes,4323754,Sul,3316,3260.0,0.655,27322.0,89071.0,12.62,258.312,200000.0,200000.0,1,200000.0
4305009,Catuipe,4305009,Sul,8834,8674.0,0.739,49000.0,425026.0,14.87,583.184,150000.0,150000.0,1,150000.0
4305871,Coronel Barros,4305871,Sul,2896,2822.0,0.744,50694.0,143058.0,17.24,163.684,150000.0,150000.0,3,50000.0
4306007,Crissiumal,4306007,Sul,13116,12886.0,0.712,38853.0,500660.0,35.58,362.194,150000.0,150000.0,1,150000.0
4306353,Dezesseis de Novembro,4306353,Sul,2540,2507.0,0.654,20507.0,51412.0,11.53,217.363,150000.0,150000.0,1,150000.0
4308508,Frederico Westphalen,4308508,Sul,33726,32627.0,0.76,54934.0,1792336.0,123.04,265.181,150000.0,150000.0,1,150000.0
4309001,Girua,4309001,Sul,16273,16013.0,0.721,63540.0,1017468.0,18.68,857.059,150000.0,150000.0,1,150000.0
4310702,Itatiba do Sul,4310702,Sul,3240,3208.0,0.681,26531.0,85113.0,15.08,212.669,150000.0,150000.0,1,150000.0
4310900,Jacutinga,4310900,Sul,3398,3338.0,0.726,56528.0,188689.0,18.75,178.009,150000.0,150000.0,1,150000.0
4311304,Lagoa Vermelha,4311304,Sul,28622,27659.0,0.738,58142.0,1608163.0,21.95,1260.227,150000.0,150000.0,1,150000.0
4312500,Mostardas,4312500,Sul,12347,12090.0,0.664,40888.0,494341.0,6.11,1977.442,150000.0,150000.0,1,150000.0
4314548,Pinto Bandeira,4314548,Sul,2785,2723.0,,34203.0,93134.0,25.98,104.801,150000.0,150000.0,1,150000.0
4318457,Sao Jose das Missoes,4318457,Sul,2399,2362.0,0.651,32295.0,76281.0,24.07,98.125,150000.0,150000.0,1,150000.0
4319208,Sao Nicolau,4319208,Sul,5243,5118.0,0.645,34926.0,178749.0,10.54,485.588,150000.0,150000.0,1,150000.0
4319307,Sao Paulo das Missoes,4319307,Sul,5943,5846.0,0.692,36726.0,214703.0,26.1,223.942,150000.0,150000.0,1,150000.0
4320321,Senador Salgado Filho,4320321,Sul,2725,2673.0,0.693,34939.0,93393.0,18.18,147.068,150000.0,150000.0,1,150000.0
4321477,Tiradentes do Sul,4321477,Sul,5188,5129.0,0.689,31775.0,162975.0,21.67,236.653,150000.0,150000.0,1,150000.0
4321493,Toropi,4321493,Sul,2594,2554.0,0.683,32226.0,82304.0,12.88,198.316,150000.0,150000.0,1,150000.0
4322350,Uniao da Serra,4322350,Sul,1183,1170.0,0.733,54968.0,64313.0,8.92,131.154,150000.0,150000.0,1,150000.0
4322905,Viadutos,4322905,Sul,4847,4769.0,0.702,40097.0,191223.0,17.79,268.072,150000.0,150000.0,1,150000.0
