chave_municipal,municipio_cobertura,localizacao_cobertura,afetado_lista_2024_06_11,qtd_movimentacoes_base,creditos_base,ajustes_negativos_base,saldo_liquido_base,qtd_movimentacoes_ate_extrato,saldo_liquido_ate_extrato,situacao_na_base,situacao_comparacao,motivos_investigacao
4305801,Constantina,"Constantina, Rio Grande do Sul, Brasil",1,0,0.00,0.00,0.00,0,0.00,sem_registro,afetado_sem_registro,afetado_sem_registro
4305975,Coxilha,"Coxilha, Rio Grande do Sul, Brasil",1,0,0.00,0.00,0.00,0,0.00,sem_registro,afetado_sem_registro,afetado_sem_registro
4306403,Dois Irmãos,"Dois Irmãos, Rio Grande do Sul, Brasil",1,0,0.00,0.00,0.00,0,0.00,sem_registro,afetado_sem_registro,afetado_sem_registro
4306601,Dom Pedrito,"Dom Pedrito, Rio Grande do Sul, Brasil",1,0,0.00,0.00,0.00,0,0.00,sem_registro,afetado_sem_registro,afetado_sem_registro
4306551,Dom Pedro de Alcântara,"Dom Pedro de Alcântara, Rio Grande do Sul, Brasil",1,0,0.00,0.00,0.00,0,0.00,sem_registro,afetado_sem_registro,afetado_sem_registro
4306932,Entre-Ijuís,"Entre-Ijuís, Rio Grande do Sul, Brasil",1,0,0.00,0.00,0.00,0,0.00,sem_registro,afetado_sem_registro,afetado_sem_registro
4306973,Erebango,"Erebango, Rio Grande do Sul, Brasil",1,0,0.00,0.00,0.00,0,0.00,sem_registro,afetado_sem_registro,afetado_sem_registro
4307401,Esmeralda,"Esmeralda, Rio Grande do Sul, Brasil",1,0,0.00,0.00,0.00,0,0.00,sem_registro,afetado_sem_registro,afetado_sem_registro
4307559,Estação,"Estação, Rio Grande do Sul, Brasil",1,0,0.00,0.00,0.00,0,0.00,sem_registro,afetado_sem_registro,afetado_sem_registro
4307609,Estância Velha,"Estância Velha, Rio Grande do Sul, Brasil",1,0,0.00,0.00,0.00,0,0.00,sem_registro,afetado_sem_registro,afetado_sem_registro
4307831,Eugênio de Castro,"Eugênio de Castro, Rio Grande do Sul, Brasil",1,0,0.00,0.00,0.00,0,0.00,sem_registro,afetado_sem_registro,afetado_sem_registro
4308078,Fazenda Vilanova,"Fazenda Vilanova, Rio Grande do Sul, Brasil",1,0,0.00,0.00,0.00,0,0.00,sem_registro,afetado_sem_registro,afetado_sem_registro
4308250,Floriano Peixoto,"Floriano Peixoto, Rio Grande do Sul, Brasil",1,0,0.00,0.00,0.00,0,0.00,sem_registro,afetado_sem_registro,afetado_sem_registro
4308409,Formigueiro,"Formigueiro, Rio Grande do Sul, Brasil",1,0,0.00,0.00,0.00,0,0.00,sem_registro,afetado_sem_registro,afetado_sem_registro
4308458,Fortaleza dos Valos,"Fortaleza dos Valos, Rio Grande do Sul, Brasil",1,0,0.00,0.00,0.00,0,0.00,sem_registro,afetado_sem_registro,afetado_sem_registro
4308706,Gaurama,"Gaurama, Rio Grande do Sul, Brasil",1,0,0.00,0.00,0.00,0,0.00,sem_registro,afetado_sem_registro,afetado_sem_registro
4309050,Glorinha,"Glorinha, Rio Grande do Sul, Brasil",1,0,0.00,0.00,0.00,0,0.00,sem_registro,afetado_sem_registro,afetado_sem_registro
4309209,Gravataí,"Gravataí, Rio Grande do Sul, Brasil",1,0,0.00,0.00,0.00,0,0.00,sem_registro,afetado_sem_registro,afetado_sem_registro
4309506,Guarani das Missões,"Guarani das Missões, Rio Grande do Sul, Brasil",1,0,0.00,0.00,0.00,0,0.00,sem_registro,afetado_sem_registro,afetado_sem_registro
4309571,Herveiras,"Herveiras, Rio Grande do Sul, Brasil",1,0,0.00,0.00,0.00,0,0.00,sem_registro,afetado_sem_registro,afetado_sem_registro
