ordem_fonte,chave_municipal,municipio_fonte,municipio_ibge,data_extrato
112,4305934,Coronel Pilar,Coronel Pilar,2024-06-11
113,4305959,Cotiporã,Cotiporã,2024-06-11
114,4305975,Coxilha,Coxilha,2024-06-11
115,4306007,Crissiumal,Crissiumal,2024-06-11
116,4306056,Cristal,Cristal,2024-06-11
117,4306072,Cristal do Sul,Cristal do Sul,2024-06-11
118,4306106,Cruz Alta,Cruz Alta,2024-06-11
119,4306130,Cruzaltense,Cruzaltense,2024-06-11
120,4306205,Cruzeiro do Sul,Cruzeiro do Sul,2024-06-11
121,4306304,David Canabarro,David Canabarro,2024-06-11
122,4306320,Derrubadas,Derrubadas,2024-06-11
123,4306353,Dezesseis de Novembro,Dezesseis de Novembro,2024-06-11
124,4306379,Dilermando de Aguiar,Dilermando de Aguiar,2024-06-11
125,4306403,Dois Irmãos,Dois Irmãos,2024-06-11
126,4306429,Dois Irmãos Das Missões,Dois Irmãos das Missões,2024-06-11
127,4306452,Dois Lajeados,Dois Lajeados,2024-06-11
128,4306502,Dom Feliciano,Dom Feliciano,2024-06-11
129,4306601,Dom Pedrito,Dom Pedrito,2024-06-11
130,4306551,Dom Pedro de Alcântara,Dom Pedro de Alcântara,2024-06-11
131,4306700,Dona Francisca,Dona Francisca,2024-06-11
132,4306734,Doutor Maurício Cardoso,Doutor Maurício Cardoso,2024-06-11
133,4306759,Doutor Ricardo,Doutor Ricardo,2024-06-11
134,4306767,Eldorado do Sul,Eldorado do Sul,2024-06-11
135,4306809,Encantado,Encantado,2024-06-11
136,4306908,Encruzilhada do Sul,Encruzilhada do Sul,2024-06-11
137,4306924,Engenho Velho,Engenho Velho,2024-06-11
138,4306957,Entre Rios do Sul,Entre Rios do Sul,2024-06-11
139,4306932,Entre-ijuís,Entre-Ijuís,2024-06-11
140,4306973,Erebango,Erebango,2024-06-11
141,4307005,Erechim,Erechim,2024-06-11
142,4307203,Erval Grande,Erval Grande,2024-06-11
143,4307302,Erval Seco,Erval Seco,2024-06-11
144,4307401,Esmeralda,Esmeralda,2024-06-11
145,4307450,Esperança do Sul,Esperança do Sul,2024-06-11
146,4307500,Espumoso,Espumoso,2024-06-11
147,4307559,Estação,Estação,2024-06-11
148,4307609,Estância Velha,Estância Velha,2024-06-11
149,4307708,Esteio,Esteio,2024-06-11
150,4307807,Estrela,Estrela,2024-06-11
