município,chave_municipal,valor_pago,total_fato,diferenca
Coronel Pilar,4305934,350000.0,350000.0,0.0
Ciriaco,4305504,350000.0,350000.0,0.0
Chuvisca,4305447,350000.0,350000.0,0.0
Chiapetta,4305405,350000.0,350000.0,0.0
Carlos Gomes,4304853,350000.0,350000.0,0.0
Carlos Barbosa,4304804,350000.0,350000.0,0.0
Capitao,4304697,350000.0,350000.0,0.0
Capela de Santana,4304689,350000.0,350000.0,0.0
Capao Bonito do Sul,4304622,350000.0,350000.0,0.0
Canela,4304408,350000.0,350000.0,0.0
Candiota,4304358,350000.0,350000.0,0.0
Campos Borges,4304101,350000.0,350000.0,0.0
Camargo,4303558,350000.0,350000.0,0.0
Caicara,4303400,350000.0,350000.0,0.0
Herval,4307104,350000.0,350000.0,0.0
Guabiju,4309258,350000.0,350000.0,0.0
Gramado dos Loureiros,4309126,350000.0,350000.0,0.0
Garruchos,4308656,350000.0,350000.0,0.0
Garibaldi,4308607,350000.0,350000.0,0.0
Flores da Cunha,4308201,350000.0,350000.0,0.0
Faxinalzinho,4308052,350000.0,350000.0,0.0
Farroupilha,4307906,350000.0,350000.0,0.0
Fagundes Varela,4307864,350000.0,350000.0,0.0
Estrela Velha,4307815,350000.0,350000.0,0.0
Erval Grande,4307203,350000.0,350000.0,0.0
Erechim,4307005,350000.0,350000.0,0.0
Entre Rios do Sul,4306957,350000.0,350000.0,0.0
Encruzilhada do Sul,4306908,350000.0,350000.0,0.0
Dois Lajeados,4306452,350000.0,350000.0,0.0
David Canabarro,4306304,350000.0,350000.0,0.0
Miraguai,4312302,350000.0,350000.0,0.0
Mato Leitao,4312153,350000.0,350000.0,0.0
Mato Castelhano,4312138,350000.0,350000.0,0.0
Marata,4311791,350000.0,350000.0,0.0
Manoel Viana,4311759,350000.0,350000.0,0.0
Liberato Salzano,4311601,350000.0,350000.0,0.0
Lajeado do Bugre,4311429,350000.0,350000.0,0.0
Lagoa Bonita do Sul,4311239,350000.0,350000.0,0.0
Jaguarao,4311007,350000.0,350000.0,0.0
Itati,4310652,350000.0,350000.0,0.0
Itaqui,4310603,350000.0,350000.0,0.0
Itapuca,4310579,350000.0,350000.0,0.0
Itacurubi,4310553,350000.0,350000.0,0.0
Inhacora,4310413,350000.0,350000.0,0.0
Ijui,4310207,350000.0,350000.0,0.0
Ibiruba,4310009,350000.0,350000.0,0.0
Pantano Grande,4313953,350000.0,350000.0,0.0
Novo Xingu,4313466,350000.0,350000.0,0.0
Novo Tiradentes,4313441,350000.0,350000.0,0.0
Novo Cabrais,4313391,350000.0,350000.0,0.0
Novo Barreiro,4313490,350000.0,350000.0,0.0
Nova Prata,4313300,350000.0,350000.0,0.0
Nova Petropolis,4313201,350000.0,350000.0,0.0
Nova Padua,4313086,350000.0,350000.0,0.0
Nova Esperanca do Sul,4313037,350000.0,350000.0,0.0
Nova Brescia,4313003,350000.0,350000.0,0.0
Nova Bassano,4312906,350000.0,350000.0,0.0
Nova Alvorada,4312757,350000.0,350000.0,0.0
Morro Reuter,4312476,350000.0,350000.0,0.0
Morro Redondo,4312450,350000.0,350000.0,0.0
Morrinhos do Sul,4312443,350000.0,350000.0,0.0
Monte Belo do Sul,4312385,350000.0,350000.0,0.0
Santa Vitoria do Palmar,4317301,350000.0,350000.0,0.0
Santa Clara do Sul,4316758,350000.0,350000.0,0.0
Salvador do Sul,4316501,350000.0,350000.0,0.0
Rosario do Sul,4316402,350000.0,350000.0,0.0
Rondinha,4316204,350000.0,350000.0,0.0
Riozinho,4315750,350000.0,350000.0,0.0
Quinze de Novembro,4315354,350000.0,350000.0,0.0
Quevedos,4315321,350000.0,350000.0,0.0
Protasio Alves,4315172,350000.0,350000.0,0.0
Porto Xavier,4315107,350000.0,350000.0,0.0
Porto Lucena,4315008,350000.0,350000.0,0.0
Pontao,4314779,350000.0,350000.0,0.0
Pinheiro Machado,4314506,350000.0,350000.0,0.0
Picada Cafe,4314423,350000.0,350000.0,0.0
Paverama,4314159,350000.0,350000.0,0.0
Parai,4314001,350000.0,350000.0,0.0
Sapiranga,4319901,350000.0,350000.0,0.0
Sao Valentim,4319703,350000.0,350000.0,0.0
Sao Pedro do Sul,4319406,350000.0,350000.0,0.0
Sao Marcos,4319000,350000.0,350000.0,0.0
Sao Luiz Gonzaga,4318903,350000.0,350000.0,0.0
Sao Jose do Sul,4318614,350000.0,350000.0,0.0
Sao Jose do Hortencio,4318481,350000.0,350000.0,0.0
Sao Jorge,4318440,350000.0,350000.0,0.0
Sao Francisco de Paula,4318200,350000.0,350000.0,0.0
Sao Francisco de Assis,4318101,350000.0,350000.0,0.0
Sao Domingos do Sul,4318051,350000.0,350000.0,0.0
Sao Borja,4318002,350000.0,350000.0,0.0
Santo Antonio do Palma,4317558,350000.0,350000.0,0.0
Santo Antonio da Patrulha,4317608,350000.0,350000.0,0.0
Santo Angelo,4317509,350000.0,350000.0,0.0
Santana da Boa Vista,4317004,350000.0,350000.0,0.0
Amaral Ferrador,4300638,200000.0,200000.0,0.0
Alto Alegre,4300554,200000.0,200000.0,0.0
Westfalia,4323770,350000.0,350000.0,0.0
Vista Alegre do Prata,4323606,350000.0,350000.0,0.0
Vila Nova do Sul,4323457,350000.0,350000.0,0.0
Vale Real,4322541,350000.0,350000.0,0.0
Vacaria,4322509,350000.0,350000.0,0.0
Uruguaiana,4322400,350000.0,350000.0,0.0
Tupandi,4322251,350000.0,350000.0,0.0
Tunas,4322152,350000.0,350000.0,0.0
Tres Passos,4321907,350000.0,350000.0,0.0
Tres Forquilhas,4321832,350000.0,350000.0,0.0
Tres Cachoeiras,4321667,350000.0,350000.0,0.0
Tapes,4321105,350000.0,350000.0,0.0
Soledade,4320800,350000.0,350000.0,0.0
Selbach,4320305,350000.0,350000.0,0.0
Cerro Grande,4305157,200000.0,200000.0,0.0
Cerrito,4305124,200000.0,200000.0,0.0
Casca,4304903,200000.0,200000.0,0.0
Cangucu,4304507,200000.0,200000.0,0.0
Candido Godoi,4304309,200000.0,200000.0,0.0
Campinas do Sul,4303806,200000.0,200000.0,0.0
Campestre da Serra,4303673,200000.0,200000.0,0.0
Camaqua,4303509,200000.0,200000.0,0.0
Brochier,4302659,200000.0,200000.0,0.0
Braga,4302600,200000.0,200000.0,0.0
Boa Vista das Missoes,4302154,200000.0,200000.0,0.0
Benjamin Constant do Sul,4302055,200000.0,200000.0,0.0
Barros Cassal,4302006,200000.0,200000.0,0.0
Barra do Ribeiro,4301909,200000.0,200000.0,0.0
Arroio Grande,4301305,200000.0,200000.0,0.0
Aratiba,4300901,200000.0,200000.0,0.0
Getulio Vargas,4308904,200000.0,200000.0,0.0
Gentil,4308854,200000.0,200000.0,0.0
Espumoso,4307500,200000.0,200000.0,0.0
Esperanca do Sul,4307450,200000.0,200000.0,0.0
Erval Seco,4307302,200000.0,200000.0,0.0
Engenho Velho,4306924,200000.0,200000.0,0.0
Doutor Mauricio Cardoso,4306734,200000.0,200000.0,0.0
Dom Feliciano,4306502,200000.0,200000.0,0.0
Dois Irmaos das Missoes,4306429,200000.0,200000.0,0.0
Dilermando de Aguiar,4306379,200000.0,200000.0,0.0
Derrubadas,4306320,200000.0,200000.0,0.0
Cruz Alta,4306106,200000.0,200000.0,0.0
Cristal,4306056,200000.0,200000.0,0.0
Coronel Bicaco,4305900,200000.0,200000.0,0.0
Colorado,4305603,200000.0,200000.0,0.0
Chapada,4305306,200000.0,200000.0,0.0
Montauri,4312351,200000.0,200000.0,0.0
Maximiliano de Almeida,4312203,200000.0,200000.0,0.0
Marcelino Ramos,4311908,200000.0,200000.0,0.0
Marau,4311809,200000.0,200000.0,0.0
Mampituba,4311734,200000.0,200000.0,0.0
Machadinho,4311700,200000.0,200000.0,0.0
Linha Nova,4311643,200000.0,200000.0,0.0
Lindolfo Collor,4311627,200000.0,200000.0,0.0
Lagoao,4311254,200000.0,200000.0,0.0
Lagoa dos Tres Cantos,4311270,200000.0,200000.0,0.0
Jaboticaba,4310850,200000.0,200000.0,0.0
Irai,4310504,200000.0,200000.0,0.0
Ilopolis,4310306,200000.0,200000.0,0.0
Ibirapuita,4309951,200000.0,200000.0,0.0
Hulha Negra,4309654,200000.0,200000.0,0.0
Gramado Xavier,4309159,200000.0,200000.0,0.0
Rodeio Bonito,4315909,200000.0,200000.0,0.0
Redentora,4315404,200000.0,200000.0,0.0
Progresso,4315156,200000.0,200000.0,0.0
Presidente Lucena,4315149,200000.0,200000.0,0.0
Porto Maua,4315057,200000.0,200000.0,0.0
Piratini,4314605,200000.0,200000.0,0.0
Pirapo,4314555,200000.0,200000.0,0.0
Pinhal,4314456,200000.0,200000.0,0.0
Pedro Osorio,4314209,200000.0,200000.0,0.0
Pedras Altas,4314175,200000.0,200000.0,0.0
Paulo Bento,4314134,200000.0,200000.0,0.0
Palmitinho,4313805,200000.0,200000.0,0.0
Palmeira das Missoes,4313706,200000.0,200000.0,0.0
Novo Machado,4313425,200000.0,200000.0,0.0
Nova Boa Vista,4312955,200000.0,200000.0,0.0
Nonoai,4312708,200000.0,200000.0,0.0
Sertao,4320503,200000.0,200000.0,0.0
Serio,4320453,200000.0,200000.0,0.0
Sarandi,4320107,200000.0,200000.0,0.0
Sao Vicente do Sul,4319802,200000.0,200000.0,0.0
Sao Sepe,4319604,200000.0,200000.0,0.0
Sao Pedro das Missoes,4319364,200000.0,200000.0,0.0
Sao Pedro da Serra,4319356,200000.0,200000.0,0.0
Sao Martinho,4319109,200000.0,200000.0,0.0
Sao Joao da Urtiga,4318424,200000.0,200000.0,0.0
Sao Gabriel,4318309,200000.0,200000.0,0.0
Santo Expedito do Sul,4317954,200000.0,200000.0,0.0
Salvador das Missoes,4316477,200000.0,200000.0,0.0
Salto do Jacui,4316451,200000.0,200000.0,0.0
Sagrada Familia,4316428,200000.0,200000.0,0.0
Roque Gonzales,4316303,200000.0,200000.0,0.0
Ronda Alta,4316105,200000.0,200000.0,0.0
Tres Coroas,4321709,2381395.35,2381395.35,0.0
Sao Jose do Norte,4318507,2381395.35,2381395.35,0.0
Guapore,4309407,2381395.35,2381395.35,0.0
Candelaria,4304200,2381395.35,2381395.35,0.0
Rio Pardo,4315701,2443023.26,2443023.26,0.0
Eldorado do Sul,4306767,2554651.16,2554651.16,0.0
Igrejinha,4310108,2643023.26,2643023.26,0.0
Estrela,4307807,2643023.26,2643023.26,0.0
Sao Lourenco do Sul,4318804,2904651.16,2904651.16,0.0
Gramado,4309100,2904651.16,2904651.16,0.0
Parobe,4314050,3077906.98,3077906.98,0.0
Taquara,4321204,3427906.98,3427906.98,0.0
Venancio Aires,4322608,3689534.88,3689534.88,0.0
Montenegro,4312401,3689534.88,3689534.88,0.0
Campo Bom,4303905,3689534.88,3689534.88,0.0
Jacutinga,4310900,150000.0,150000.0,0.0
Lagoa Vermelha,4311304,150000.0,150000.0,0.0
Mostardas,4312500,150000.0,150000.0,0.0
Pinto Bandeira,4314548,150000.0,150000.0,0.0
Sao Jose das Missoes,4318457,150000.0,150000.0,0.0
Sao Nicolau,4319208,150000.0,150000.0,0.0
Sao Paulo das Missoes,4319307,150000.0,150000.0,0.0
Senador Salgado Filho,4320321,150000.0,150000.0,0.0
Tiradentes do Sul,4321477,150000.0,150000.0,0.0
Toropi,4321493,150000.0,150000.0,0.0
Uniao da Serra,4322350,150000.0,150000.0,0.0
Viadutos,4322905,150000.0,150000.0,0.0
Caxias do Sul,4305108,5782558.14,5782558.14,0.0
