chave_municipal,municipio_cobertura,localizacao_cobertura,afetado_lista_2024_06_11,qtd_movimentacoes_base,creditos_base,ajustes_negativos_base,saldo_liquido_base,qtd_movimentacoes_ate_extrato,saldo_liquido_ate_extrato,situacao_na_base,situacao_comparacao
4302055,Benjamin Constant do Sul,"Benjamin Constant do Sul, Rio Grande do Sul, Brasil",1,1,200000.00,0.00,200000.00,1,200000.00,saldo_positivo,afetado_com_registro
4302105,Bento Gonçalves,"Bento Gonçalves, Rio Grande do Sul, Brasil",1,3,4997674.42,0.00,4997674.42,1,200000.00,saldo_positivo,afetado_com_registro
4302154,Boa Vista das Missões,"Boa Vista das Missões, Rio Grande do Sul, Brasil",1,1,200000.00,0.00,200000.00,1,200000.00,saldo_positivo,afetado_com_registro
4302204,Boa Vista do Buricá,"Boa Vista do Buricá, Rio Grande do Sul, Brasil",1,0,0.00,0.00,0.00,0,0.00,sem_registro,afetado_sem_registro
4302220,Boa Vista do Cadeado,"Boa Vista do Cadeado, Rio Grande do Sul, Brasil",1,0,0.00,0.00,0.00,0,0.00,sem_registro,afetado_sem_registro
4302238,Boa Vista do Incra,"Boa Vista do Incra, Rio Grande do Sul, Brasil",1,0,0.00,0.00,0.00,0,0.00,sem_registro,afetado_sem_registro
4302253,Boa Vista do Sul,"Boa Vista do Sul, Rio Grande do Sul, Brasil",1,0,0.00,0.00,0.00,0,0.00,sem_registro,afetado_sem_registro
4302303,Bom Jesus,"Bom Jesus, Rio Grande do Sul, Brasil",1,2,350000.00,0.00,350000.00,0,0.00,saldo_positivo,afetado_com_registro
4302352,Bom Princípio,"Bom Princípio, Rio Grande do Sul, Brasil",1,3,1596511.63,0.00,1596511.63,2,550000.00,saldo_positivo,afetado_com_registro
4302378,Bom Progresso,"Bom Progresso, Rio Grande do Sul, Brasil",1,0,0.00,0.00,0.00,0,0.00,sem_registro,afetado_sem_registro
4302402,Bom Retiro do Sul,"Bom Retiro do Sul, Rio Grande do Sul, Brasil",1,2,1246511.63,0.00,1246511.63,1,200000.00,saldo_positivo,afetado_com_registro
4302451,Boqueirão do Leão,"Boqueirão do Leão, Rio Grande do Sul, Brasil",1,2,350000.00,0.00,350000.00,1,200000.00,saldo_positivo,afetado_com_registro
4302501,Bossoroca,"Bossoroca, Rio Grande do Sul, Brasil",1,0,0.00,0.00,0.00,0,0.00,sem_registro,afetado_sem_registro
4302584,Bozano,"Bozano, Rio Grande do Sul, Brasil",1,2,350000.00,0.00,350000.00,0,0.00,saldo_positivo,afetado_com_registro
4302600,Braga,"Braga, Rio Grande do Sul, Brasil",1,1,200000.00,0.00,200000.00,0,0.00,saldo_positivo,afetado_com_registro
4302659,Brochier,"Brochier, Rio Grande do Sul, Brasil",1,1,200000.00,0.00,200000.00,1,200000.00,saldo_positivo,afetado_com_registro
4302709,Butiá,"Butiá, Rio Grande do Sul, Brasil",1,0,0.00,0.00,0.00,0,0.00,sem_registro,afetado_sem_registro
4302907,Cacequi,"Cacequi, Rio Grande do Sul, Brasil",1,2,350000.00,0.00,350000.00,1,200000.00,saldo_positivo,afetado_com_registro
4303004,Cachoeira do Sul,"Cachoeira do Sul, Rio Grande do Sul, Brasil",1,3,3951162.79,0.00,3951162.79,1,200000.00,saldo_positivo,afetado_com_registro
4303103,Cachoeirinha,"Cachoeirinha, Rio Grande do Sul, Brasil",1,5,5959302.33,-700000.00,5259302.33,0,0.00,saldo_positivo,afetado_com_registro
4303202,Cacique Doble,"Cacique Doble, Rio Grande do Sul, Brasil",1,2,350000.00,0.00,350000.00,1,200000.00,saldo_positivo,afetado_com_registro
4303301,Caibaté,"Caibaté, Rio Grande do Sul, Brasil",1,0,0.00,0.00,0.00,0,0.00,sem_registro,afetado_sem_registro
4303400,Caiçara,"Caiçara, Rio Grande do Sul, Brasil",1,2,350000.00,0.00,350000.00,1,200000.00,saldo_positivo,afetado_com_registro
4303509,Camaquã,"Camaquã, Rio Grande do Sul, Brasil",1,1,200000.00,0.00,200000.00,1,200000.00,saldo_positivo,afetado_com_registro
4303558,Camargo,"Camargo, Rio Grande do Sul, Brasil",1,2,350000.00,0.00,350000.00,1,200000.00,saldo_positivo,afetado_com_registro
4303608,Cambará do Sul,"Cambará do Sul, Rio Grande do Sul, Brasil",1,0,0.00,0.00,0.00,0,0.00,sem_registro,afetado_sem_registro
4303673,Campestre da Serra,"Campestre da Serra, Rio Grande do Sul, Brasil",1,1,200000.00,0.00,200000.00,1,200000.00,saldo_positivo,afetado_com_registro
4303707,Campina das Missões,"Campina das Missões, Rio Grande do Sul, Brasil",1,0,0.00,0.00,0.00,0,0.00,sem_registro,afetado_sem_registro
4303806,Campinas do Sul,"Campinas do Sul, Rio Grande do Sul, Brasil",1,1,200000.00,0.00,200000.00,1,200000.00,saldo_positivo,afetado_com_registro
4303905,Campo Bom,"Campo Bom, Rio Grande do Sul, Brasil",1,3,3689534.88,0.00,3689534.88,1,200000.00,saldo_positivo,afetado_com_registro
4304002,Campo Novo,"Campo Novo, Rio Grande do Sul, Brasil",1,0,0.00,0.00,0.00,0,0.00,sem_registro,afetado_sem_registro
4304101,Campos Borges,"Campos Borges, Rio Grande do Sul, Brasil",1,2,350000.00,0.00,350000.00,1,200000.00,saldo_positivo,afetado_com_registro
4304200,Candelária,"Candelária, Rio Grande do Sul, Brasil",1,3,2381395.35,0.00,2381395.35,2,550000.00,saldo_positivo,afetado_com_registro
4304358,Candiota,"Candiota, Rio Grande do Sul, Brasil",1,2,350000.00,0.00,350000.00,1,200000.00,saldo_positivo,afetado_com_registro
4304408,Canela,"Canela, Rio Grande do Sul, Brasil",1,2,350000.00,0.00,350000.00,0,0.00,saldo_positivo,afetado_com_registro
4304507,Canguçu,"Canguçu, Rio Grande do Sul, Brasil",1,1,200000.00,0.00,200000.00,1,200000.00,saldo_positivo,afetado_com_registro
4304606,Canoas,"Canoas, Rio Grande do Sul, Brasil",1,3,5782558.14,0.00,5782558.14,0,0.00,saldo_positivo,afetado_com_registro
