Município,Valor pago (R$)
Dois Irmaos das Missoes,200000
Dom Feliciano,200000
Doutor Mauricio Cardoso,200000
Engenho Velho,200000
Erval Seco,200000
Esperanca do Sul,200000
Espumoso,200000
Gentil,200000
Getulio Vargas,200000
Gramado Xavier,200000
Hulha Negra,200000
Ibirapuita,200000
Ilopolis,200000
Irai,200000
Jaboticaba,200000
Lagoa dos Tres Cantos,200000
Lagoao,200000
Lindolfo Collor,200000
Linha Nova,200000
Machadinho,200000
Mampituba,200000
Marau,200000
Marcelino Ramos,200000
Maximiliano de Almeida,200000
Montauri,200000
Nonoai,200000
Nova Boa Vista,200000
Novo Machado,200000
Palmeira das Missoes,200000
Palmitinho,200000
Paulo Bento,200000
Pedras Altas,200000
Pedro Osorio,200000
Pinhal,200000
Pirapo,200000
Piratini,200000
Porto Maua,200000
Presidente Lucena,200000
Progresso,200000
Redentora,200000
Rodeio Bonito,200000
Ronda Alta,200000
Roque Gonzales,200000
Sagrada Familia,200000
Salto do Jacui,200000
Salvador das Missoes,200000
Santo Expedito do Sul,200000
Sao Gabriel,200000
Sao Joao da Urtiga,200000
Sao Martinho,200000
Sao Pedro da Serra,200000
Sao Pedro das Missoes,200000
Sao Sepe,200000
Sao Vicente do Sul,200000
Sarandi,200000
Serio,200000
Sertao,200000
Tres Arroios,200000
Tres Palmeiras,200000
Trindade do Sul,200000
Tupancireta,200000
Ubiretama,200000
Vale do Sol,200000
Vicente Dutra,200000
Vila Maria,200000
Vista Gaucha,200000
Vitoria das Missoes,200000
Catuipe,150000
Coronel Barros,150000
Crissiumal,150000
Dezesseis de Novembro,150000
Frederico Westphalen,150000
Girua,150000
Itatiba do Sul,150000
Jacutinga,150000
Lagoa Vermelha,150000
Mostardas,150000
Pinto Bandeira,150000
Sao Jose das Missoes,150000
Sao Nicolau,150000
Sao Paulo das Missoes,150000
Senador Salgado Filho,150000
Tiradentes do Sul,150000
Toropi,150000
Uniao da Serra,150000
Viadutos,150000
